"NAME"
"Absconding"
"Biting"
"Biting fingers"
"Crying"
"Flapping"
"Grinding"
"Hands in pants"
"Head banging"
"Hitting"
"Hitting environment"
"Hitting others"
"Hitting self"
"Kicking"
"Kicking environment"
"Kicking others"
"Physical"
"Pinching"
"Protest"
"Screaming"
"Scripting"
"Self-stimulatory behaviour"
"Spinning"
"Spitting"
"Swearing"
"Teeth grinding"
"Throwing"
"Verbal self-stimulatory behaviour"
"Licking"
"Verbal protest"
